,planname
730,Orankesee
731,Landsberger Allee
732,Landsberger Allee
733,Große-Leege-Straße
734,Landsberger Allee
735,Landsberger Allee
736,Landsberger Allee
737,Landsberger Allee
738,Orankesee
739,Große-Leege-Straße
740,Rummelsburg
741,Nibelungenviertel
742,Tierpark
743,Herzbergstraße
744,Erieseering
745,Frankfurter Allee Süd
746,Hohenschönhauser Straße
747,Fennpfuhl Ost
748,Karlshorst Süd
749,Karlshorst Süd
750,Rudolf-Seiffert-Park
751,Volkradstraße
752,Gensinger Straße
753,Herzbergstraße
754,Nöldnerplatz
755,Gensinger Straße
756,Dolgenseestraße
757,Karlshorst Süd
758,Rummelsburg
759,Rummelsburg
760,Karlshorst Nord
761,Dolgenseestraße
762,Volkradstraße
763,Zachertstraße
764,Fennpfuhlpark
765,Volkradstraße
766,Rummelsburg
767,Herzbergstraße
768,Frankfurter Allee Süd
769,Karlshorst West
770,Karlshorst Nord
771,Frankfurter Allee Süd
772,Rudolf-Seiffert-Park
773,Zachertstraße
774,Dolgenseestraße
775,Tierpark
776,Frankfurter Allee Süd
777,Karlshorst West
778,Karlshorst Süd
779,Volkradstraße
780,Rosenfelder Ring
781,Erieseering
782,Rathaus Lichtenberg
783,Frankfurter Allee Süd
784,Volkradstraße
785,Volkradstraße
786,Dolgenseestraße
787,Dolgenseestraße
788,Erieseering
789,Nöldnerplatz
790,Karlshorst Nord
791,Rudolf-Seiffert-Park
792,Volkradstraße
793,Rudolf-Seiffert-Park
794,Hohenschönhauser Straße
795,Rudolf-Seiffert-Park
796,Fennpfuhl Ost
797,Rudolf-Seiffert-Park
798,Zachertstraße
799,Rudolf-Seiffert-Park
800,Rosenfelder Ring
801,Rosenfelder Ring
802,Tierpark
803,Massower Straße
804,Herzbergstraße
805,Frankfurter Allee Süd
806,Rummelsburg
807,Erieseering
808,Erieseering
809,Karlshorst Süd
810,Fennpfuhlpark
811,Victoriastadt
812,Fennpfuhlpark
813,Dolgenseestraße
814,Gensinger Straße
815,Dolgenseestraße
816,Dolgenseestraße
817,Erieseering
818,Frankfurter Allee Süd
819,Volkradstraße
820,Rathaus Lichtenberg
821,Dolgenseestraße
822,Dolgenseestraße
823,Erieseering
824,Erieseering
825,Rummelsburg
826,Herzbergstraße
827,Große-Leege-Straße
828,Nöldnerplatz
829,Landsberger Allee
830,Gensinger Straße
