,planname
2298,Diedersdorfer Weg
2299,Diedersdorfer Weg
2300,Horstwalder Straße
2301,Diedersdorfer Weg
2302,Nahariyastraße
2303,Diedersdorfer Weg
2304,Ringstraße
2305,Kettinger Straße
2306,Diedersdorfer Weg
2307,Hundsteinweg
2308,Diedersdorfer Weg
2309,Diedersdorfer Weg
2310,Ringstraße
2311,Friedrich-Karl-Straße
2312,Marienhöhe
2313,Marienhöhe
2314,Nahariyastraße
2315,Kirchstraße
2316,Ringstraße
2317,Diedersdorfer Weg
2318,Tirschenreuther Ring Ost
2319,Imbrosweg
2320,Machonstraße
2321,Diedersdorfer Weg
2322,Machonstraße
2323,Ringstraße
2324,Marienhöhe
2325,Hundsteinweg
2326,Kirchstraße
2327,Ringstraße
2328,Diedersdorfer Weg
2329,Ringstraße
2330,John-Locke-Straße
2331,Kirchstraße
2332,Horstwalder Straße
2333,Rathaus Tempelhof
2334,Hundsteinweg
2335,Imbrosweg
2336,John-Locke-Straße
2337,Fritz-Werner-Straße
2338,Machonstraße
2339,Hundsteinweg
2340,John-Locke-Straße
2341,John-Locke-Straße
2342,Diedersdorfer Weg
2343,Hundsteinweg
2344,Fritz-Werner-Straße
2345,Nahariyastraße
2346,Marienfelder Allee Nordwest
2347,Eisenacher Straße
2348,John-Locke-Straße
2349,Franziusweg
2350,Marienhöhe
2351,Hundsteinweg
2352,Hundsteinweg
2353,Diedersdorfer Weg
2354,Kirchstraße
2355,Nahariyastraße
2356,Diedersdorfer Weg
2357,Eisenacher Straße
2358,Eisenacher Straße
2359,Oberspree
2360,Johannisthal West
2361,Spindlersfeld
2362,Spindlersfeld
2363,Wista
2364,Wista
2365,Wista
2366,Wista
2367,Wista
2368,Späthsfelde
2369,Falkenberg
2370,Dorf Altglienicke
2371,Kölner Viertel
2372,Landschaftspark Adlershof
2373,Landschaftspark Adlershof
2374,Preußen Siedlung
2375,Kölner Viertel
2376,Dorf Altglienicke
2377,Landschaftspark Adlershof
2378,Dorf Altglienicke
2379,Köllnische Vorstadt
2380,Dorf Altglienicke
2381,Johannisthal West
2382,Dorf Altglienicke
2383,Alt-Bohnsdorf
2384,Dorf Altglienicke
2385,Kölner Viertel
2386,Kosmos Viertel
2387,Kölner Viertel
2388,Kosmos Viertel
2389,Kölner Viertel
2390,Kölner Viertel
2391,Kölner Viertel
2392,Kölner Viertel
2393,Dorf Altglienicke
2394,Kosmos Viertel
2395,Kölner Viertel
2396,Dorf Altglienicke
2397,Preußen Siedlung
2398,Dorf Altglienicke
2399,Dorf Altglienicke
2400,Dorf Altglienicke
2401,Dorf Altglienicke
2402,Preußen Siedlung
2403,Dorf Altglienicke
2404,Dorf Altglienicke
2405,Kosmos Viertel
2406,Bahnhof Schöneweide
2407,Bahnhof Schöneweide
2408,Bahnhof Schöneweide
2409,Johannisthal West
2410,Johannisthal West
2411,Johannisthal Ost
2412,Johannisthal West
2413,Johannisthal Ost
2414,Johannisthal West
2415,Johannisthal West
2416,Johannisthal West
2417,Griechischer Park
2418,Spindlersfeld
2419,Spindlersfeld
2420,Spindlersfeld
2421,Bahnhofstraße
2422,Spindlersfeld
2423,Spindlersfeld
2424,Wista
2425,Landschaftspark Adlershof
2426,Kölner Viertel
2427,Johannisthal Ost
2428,Bahnhofstraße
2429,Johannisthal Ost
2430,Königsberger Straße
2431,Schütte-Lanz-Straße
2432,Stadtpark
2433,Gallwitzallee
2434,Waßmannsdorfer Chaussee
2435,Alt-Lankwitz
2436,Dorf Altglienicke
2437,Franziusweg
2438,Landschaftspark Adlershof
2439,Buckow Mitte
2440,Hufeisensiedlung
2441,Hufeisensiedlung
2442,Waltersdorfer Chaussee Ost
2443,Dorf Altglienicke
2444,Park am Buschkrug
2445,Waltersdorfer Chaussee Ost
2446,Waltersdorfer Chaussee Ost
2447,Schütte-Lanz-Straße
2448,Goerzwerke
2449,Kölner Viertel
2450,Buckow Mitte
2451,Bahnhof Schöneweide
2452,Köllnische Vorstadt
2453,Wista
2454,Alt-Bohnsdorf
2455,Hirschgarten
2456,Allende II
2457,Rahnsdorf
2458,Alt-Friedrichshagen
2459,Rahnsdorf
2460,Güterbahnhof Köpenick
2461,Falkenberg
2462,Alt-Friedrichshagen
2463,Rahnsdorf
2464,Friedrichshagener Straße
2465,Altstadt Köpenick
2466,Allende II
2467,Hirschgarten
2468,Schmöckwitz/Rauchfangswerder
2469,Spindlersfeld
2470,Altstadt Köpenick
2471,Hirschgarten
2472,Hirschgarten
2473,Hirschgarten
2474,Alt-Friedrichshagen
2475,Allende II
2476,Wendenschloß
2477,Alt-Friedrichshagen
2478,Alt-Friedrichshagen
2479,Alt-Friedrichshagen
2480,Alt-Friedrichshagen
2481,Alt-Friedrichshagen
2482,Rahnsdorf
2483,Rahnsdorf
2484,Müggelheim
2485,Schmöckwitz/Rauchfangswerder
2486,Karolinenhof
2487,Rahnsdorf
2488,Grünau
2489,Grünau
2490,Grünau
2491,Grünau
2492,Grünau
2493,Karolinenhof
2494,Grünau
2495,Wendenschloß
2496,Wendenschloß
2497,Allende II
2498,Müggelheim
2499,Allende I
2500,Allende I
2501,Altstadt Köpenick
2502,Altstadt Köpenick
2503,Siedlung Kämmereiheide
2504,Altstadt Köpenick
2505,Altstadt Köpenick
2506,Altstadt Köpenick
2507,Spindlersfeld
2508,Bahnhofstraße
2509,Friedrichshagener Straße
2510,Spindlersfeld
2511,Friedrichshagener Straße
2512,Bahnhofstraße
2513,Altstadt Köpenick
2514,Rahnsdorf
2515,Allende II
2516,Altstadt Köpenick
2517,Friedrichshagener Straße
2518,Kietzer Feld/Nachtheide
2519,Rahnsdorf
2520,Alt-Friedrichshagen
2521,Bahnhofstraße
2522,Köllnische Vorstadt
2523,Grünau
2524,Grünau
2525,Friedrichshagener Straße
2526,Hirschgarten
2527,Hirschgarten
2528,Hirschgarten
2529,Müggelheim
2530,Frohnau Ost
2531,Frohnau Ost
2532,Frohnau West
2533,Frohnau Ost
2534,Frohnau Ost
2535,Frohnau West
2536,Frohnau Ost
2537,Frohnau West
2538,Frohnau Ost
2539,Frohnau Ost
2540,Klinikum Buch
2541,Bucher Forst
2542,Bucher Forst
2543,Bucher Forst
